Tiempo,Referencia,Error,Señal de control,Salida
0.0,20,17.054285714285715,1705.4285714285716,2.945714285714286
0.5,20,17.045714285714286,1704.5714285714287,2.954285714285715
1.0,20,17.032857142857143,1703.2857142857142,2.9671428571428584
1.5,20,17.041428571428572,1704.142857142857,2.9585714285714295
2.0,20,17.080000000000002,1708.0000000000002,2.9199999999999995
2.5,20,17.135714285714286,1713.5714285714287,2.864285714285715
3.0,20,17.152857142857144,1715.2857142857144,2.8471428571428574
3.5,20,17.195714285714285,1719.5714285714284,2.8042857142857165
4.0,20,17.242857142857144,1724.2857142857144,2.7571428571428576
4.5,20,17.242857142857144,1724.2857142857144,2.7571428571428576
5.0,20,17.294285714285714,1729.4285714285713,2.7057142857142877
5.5,20,17.32,1732.0,2.680000000000001
6.0,20,17.337142857142858,1733.7142857142858,2.6628571428571433
6.5,20,17.38,1738.0,2.6200000000000023
7.0,20,17.41,1741.0,2.590000000000001
7.5,20,17.44857142857143,1744.8571428571431,2.551428571428571
8.0,20,17.465714285714284,1746.5714285714284,2.534285714285717
8.5,20,17.50857142857143,1750.857142857143,2.4914285714285724
9.0,20,17.53,1753.0,2.47
9.5,20,17.53857142857143,1753.8571428571431,2.4614285714285713
10.0,20,17.58142857142857,1758.142857142857,2.4185714285714304
10.5,20,17.615714285714287,1761.5714285714287,2.384285714285715
11.0,20,17.632857142857144,1763.2857142857144,2.367142857142857
11.5,20,17.641428571428573,1764.1428571428573,2.358571428571428
12.0,20,17.675714285714285,1767.5714285714284,2.324285714285716
12.5,20,17.705714285714286,1770.5714285714287,2.294285714285715
13.0,20,17.735714285714288,1773.5714285714287,2.264285714285714
13.5,20,17.765714285714285,1776.5714285714284,2.234285714285716
14.0,20,17.757142857142856,1775.7142857142856,2.242857142857145
14.5,20,17.8,1780.0,2.2000000000000006
15.0,20,17.81714285714286,1781.7142857142858,2.182857142857143
15.5,20,17.85142857142857,1785.142857142857,2.148571428571431
16.0,20,17.85142857142857,1785.142857142857,2.148571428571431
16.5,20,17.894285714285715,1789.4285714285716,2.1057142857142863
17.0,20,17.885714285714286,1788.5714285714287,2.114285714285715
17.5,20,17.937142857142856,1793.7142857142856,2.0628571428571454
18.0,20,17.94142857142857,1794.142857142857,2.058571428571431
18.5,20,17.962857142857143,1796.2857142857142,2.0371428571428587
19.0,20,17.975714285714286,1797.5714285714287,2.0242857142857154
19.5,20,17.98857142857143,1798.857142857143,2.011428571428572
20.0,20,18.014285714285716,1801.4285714285716,1.9857142857142853
20.5,20,18.03142857142857,1803.142857142857,1.968571428571431
21.0,20,18.048571428571428,1804.857142857143,1.9514285714285733
21.5,20,18.087142857142858,1808.7142857142858,1.9128571428571433
22.0,20,18.087142857142858,1808.7142857142858,1.9128571428571433
22.5,20,18.104285714285716,1810.4285714285716,1.8957142857142855
23.0,20,18.11714285714286,1811.714285714286,1.8828571428571421
23.5,20,18.134285714285713,1813.4285714285713,1.8657142857142879
24.0,20,18.155714285714286,1815.5714285714287,1.8442857142857156
24.5,20,18.181428571428572,1818.1428571428573,1.818571428571429
25.0,20,18.19857142857143,1819.8571428571431,1.8014285714285712
25.5,20,18.20714285714286,1820.714285714286,1.7928571428571423
26.0,20,18.215714285714284,1821.5714285714284,1.784285714285717
26.5,20,18.232857142857142,1823.2857142857142,1.7671428571428591
27.0,20,18.24142857142857,1824.142857142857,1.7585714285714302
27.5,20,18.267142857142858,1826.7142857142858,1.7328571428571435
28.0,20,18.28,1828.0,1.7200000000000002
28.5,20,18.29714285714286,1829.7142857142858,1.7028571428571424
29.0,20,18.292857142857144,1829.2857142857144,1.7071428571428569
29.5,20,18.301428571428573,1830.1428571428573,1.698571428571428
30.0,50,48.32714285714285,4832.714285714285,1.6728571428571448
30.5,50,48.339999999999996,4834.0,1.6600000000000015
31.0,50,48.36142857142857,4836.142857142857,1.6385714285714292
31.5,50,48.32285714285714,4832.285714285714,1.6771428571428593
32.0,50,48.27571428571429,4827.571428571428,1.7242857142857146
32.5,50,48.23714285714286,4823.714285714285,1.7628571428571447
33.0,50,48.215714285714284,4821.571428571428,1.784285714285717
33.5,50,48.18142857142857,4818.142857142857,1.818571428571429
34.0,50,48.18571428571428,4818.571428571428,1.8142857142857145
34.5,50,48.104285714285716,4810.428571428572,1.8957142857142855
35.0,50,48.1,4810.0,1.9
35.5,50,48.07857142857143,4807.857142857143,1.9214285714285722
36.0,50,48.04857142857143,4804.857142857143,1.9514285714285733
36.5,50,48.01428571428571,4801.428571428572,1.9857142857142853
37.0,50,47.97571428571428,4797.571428571428,2.0242857142857154
37.5,50,47.91571428571429,4791.571428571428,2.084285714285714
38.0,50,47.90714285714286,4790.714285714286,2.092857142857143
38.5,50,47.89857142857143,4789.857142857143,2.101428571428572
39.0,50,47.885714285714286,4788.571428571428,2.114285714285715
39.5,50,47.84285714285714,4784.285714285714,2.1571428571428597
40.0,50,47.81285714285714,4781.285714285714,2.1871428571428573
40.5,50,47.78285714285714,4778.285714285714,2.2171428571428584
41.0,50,47.76571428571428,4776.571428571428,2.234285714285716
41.5,50,47.75714285714285,4775.714285714285,2.242857142857145
42.0,50,47.71,4771.0,2.2900000000000005
42.5,50,47.69714285714286,4769.714285714285,2.302857142857144
43.0,50,47.68857142857143,4768.857142857143,2.3114285714285727
43.5,50,47.637142857142855,4763.714285714285,2.3628571428571425
44.0,50,47.61571428571428,4761.571428571428,2.384285714285715
44.5,50,47.57285714285714,4757.285714285714,2.4271428571428593
45.0,50,47.559999999999995,4755.999999999999,2.4400000000000026
45.5,50,47.53,4753.0,2.47
46.0,50,47.51285714285714,4751.285714285715,2.487142857142858
46.5,50,47.5,4750.0,2.5000000000000013
47.0,50,47.48285714285714,4748.285714285714,2.517142857142859
47.5,50,47.44857142857143,4744.857142857143,2.551428571428571
48.0,50,47.418571428571425,4741.857142857142,2.5814285714285723
48.5,50,47.41,4741.0,2.590000000000001
49.0,50,47.39714285714285,4739.714285714285,2.6028571428571445
49.5,50,47.362857142857145,4736.285714285715,2.6371428571428566
50.0,50,47.324285714285715,4732.428571428572,2.6757142857142866
