"time","stepV.v","stepV.i","heatCapacitor.T","temperatureSensor.T"
0,0,0,300,26.85000000000002
1,0,0,300,26.85000000000002
2,0,0,300,26.85000000000002
3,0,0,300,26.85000000000002
4,0,0,300,26.85000000000002
5,0,0,300,26.85000000000002
6,0,0,300,26.85000000000002
7,0,0,300,26.85000000000002
8,0,0,300,26.85000000000002
9,0,0,300,26.85000000000002
10,0,0,300,26.85000000000002
10.00000000110025,0,0,300,26.85000000000002
10.00000000110025,50,-4.869199923620393,300,26.85000000000002
11,50,-2.934491162662958,472.6375923371252,199.4875923371252
12,50,-2.353340383299338,579.9330795103573,306.7830795103573
13,50,-2.058631340621041,657.4935292864832,384.3435292864832
14,50,-1.87881744223223,716.7683539392566,443.6183539392566
15,50,-1.757994134251284,763.408392595839,490.258392595839
16,50,-1.671876596756278,800.7660940787822,527.6160940787822
17,50,-1.608029345414763,831.0459776981781,557.8959776981782
18,50,-1.559356491371964,855.7949753822618,582.6449753822618
19,50,-1.5214835369565,876.1478941806015,602.9978941806015
20,50,-1.491554658595959,892.962790568595,619.812790568595
21,50,-1.467617219851771,906.9051377523188,633.7551377523188
22,50,-1.448290784567254,918.4980720765391,645.3480720765391
23,50,-1.432570189213199,928.1587476343898,655.0087476343898
24,50,-1.419705153940909,936.2237982536535,663.0737982536535
25,50,-1.409125603715663,942.9664312947031,669.8164312947031
26,50,-1.400391307605383,948.609807252162,675.459807252162
27,50,-1.393156375335496,953.3380022750194,680.1880022750195
28,50,-1.387147244131256,957.3026028648159,684.1526028648159
29,50,-1.382144642580523,960.6294285057749,687.4794285057749
30,50,-1.377972613152978,963.422380473975,690.272380473975
31,50,-1.374487908339081,965.7682003963196,692.6182003963196
32,50,-1.371573605860779,967.7391919703639,694.5891919703639
33,50,-1.369133705390768,969.3957906630084,696.2457906630084
34,50,-1.367089088478614,970.7885608262759,697.6385608262759
35,50,-1.365374578794699,971.9596810953676,698.8096810953676
36,50,-1.36393593551556,972.9446386631843,699.7946386631843
37,50,-1.362728114195242,973.7731714298714,700.6231714298714
38,50,-1.361713554705816,974.4702676464876,701.3202676464877
39,50,-1.360861053140253,975.0568187070792,701.9068187070792
40,50,-1.360144552510204,975.5503650177722,702.4003650177722
41,50,-1.359542211538294,975.9656773502193,702.8156773502193
42,50,-1.359035715168046,976.3151900460504,703.1651900460504
43,50,-1.358609719799233,976.6093540140519,703.4593540140519
44,50,-1.358251363266056,976.8569540163251,703.7069540163251
45,50,-1.3579498867871,977.0653549816487,703.9153549816488
46,50,-1.357696244823394,977.2407611782107,704.0907611782108
47,50,-1.357482822473239,977.3884042672738,704.2384042672738
48,50,-1.357303220136061,977.5126870436436,704.3626870436436
49,50,-1.357152066163023,977.6173093669703,704.4673093669703
50,50,-1.357024850020189,977.7053810094424,704.5553810094424
51,50,-1.356917793780424,977.7795087617667,704.6295087617667
52,50,-1.356827734769006,977.8418763729893,704.6918763729893
53,50,-1.356751990241354,977.8943373369873,704.7443373369873
54,50,-1.356688303280154,977.9384517153635,704.7884517153635
55,50,-1.356634652565431,977.975617448988,704.8256174489881
56,50,-1.356589555731738,978.0068598829225,704.8568598829225
57,50,-1.356551578665568,978.0331714561196,704.8831714561196
58,50,-1.356519568308293,978.0553502707995,704.9053502707995
59,50,-1.356492619599745,978.0740228643551,704.9240228643552
60,50,-1.356469857060928,978.0897954647889,704.939795464789
61,50,-1.356450700691526,978.1030696913631,704.9530696913631
62,50,-1.356434537113579,978.1142703828031,704.9642703828031
63,50,-1.356420923711457,978.1237041148909,704.9737041148909
64,50,-1.35640946391137,978.1316456038167,704.9816456038167
65,50,-1.356399805326295,978.1383389789244,704.9883389789244
66,50,-1.356391693438791,978.1439605701631,704.9939605701632
67,50,-1.356384843219128,978.1487078696808,704.9987078696809
68,50,-1.356379093949735,978.1526922320354,705.0026922320354
69,50,-1.356374241699079,978.1560549681737,705.0060549681738
70,50,-1.356370144876234,978.1588941918884,705.0088941918884
71,50,-1.356366694558103,978.1612853813385,705.0112853813386
72,50,-1.356363778062279,978.1633066230089,705.0133066230089
73,50,-1.356361321382534,978.1650092015283,705.0150092015283
74,50,-1.356359249473973,978.1664451228347,705.0164451228347
75,50,-1.356357505911622,978.1676534895638,705.0176534895638
76,50,-1.356356038702858,978.1686703332981,705.0186703332981
77,50,-1.35635480656311,978.1695242649994,705.0195242649994
78,50,-1.356353783831753,978.1702330678615,705.0202330678616
79,50,-1.356352939222365,978.1708184242908,705.0208184242908
80,50,-1.356352247444327,978.1712978615158,705.0212978615158
81,50,-1.356351684048599,978.1716883236578,705.0216883236578
82,50,-1.356351202629811,978.1720219718314,705.0220219718315
83,50,-1.356350782969052,978.1723128186827,705.0223128186827
84,50,-1.356350411840558,978.1725700302875,705.0225700302875
85,50,-1.356350072693902,978.1728050769153,705.0228050769153
86,50,-1.356349783020041,978.1730058363646,705.0230058363646
87,50,-1.356349564948206,978.1731569718444,705.0231569718444
88,50,-1.356349377757383,978.1732867051643,705.0232867051643
89,50,-1.35634921099643,978.1734022795151,705.0234022795152
90,50,-1.356349055295071,978.1735101889954,705.0235101889954
91,50,-1.356348918133551,978.1736052493825,705.0236052493825
92,50,-1.356348799778278,978.173687276034,705.023687276034
93,50,-1.356348700229242,978.1737562689501,705.0237562689501
94,50,-1.356348619486434,978.1738122281304,705.0238122281304
95,50,-1.356348544537057,978.1738641721532,705.0238641721533
96,50,-1.356348480731294,978.1739083930452,705.0239083930452
97,50,-1.356348429827746,978.1739436719978,705.0239436719978
98,50,-1.35634839182641,978.1739700090113,705.0239700090114
99,50,-1.356348355361542,978.1739952811694,705.0239952811694
100,50,-1.35634831657552,978.1740221620164,705.0240221620164
100,50,-1.35634831657552,978.1740221620164,705.0240221620164
