Tiempo,Entrada,Salida
0.0,20,1.1114285714285734
0.5,20,1.1157142857142879
1.0,20,1.1114285714285734
1.5,20,1.107142857142859
2.0,20,1.1157142857142879
2.5,20,1.1157142857142879
3.0,20,1.1242857142857168
3.5,20,1.1285714285714312
4.0,20,1.1200000000000023
4.5,20,1.1242857142857168
5.0,20,1.107142857142859
5.5,20,1.1242857142857168
6.0,20,1.1157142857142879
6.5,20,1.107142857142859
7.0,20,1.1157142857142879
7.5,20,1.1028571428571445
8.0,20,1.1114285714285734
8.5,20,1.1114285714285734
9.0,20,1.107142857142859
9.5,20,1.107142857142859
10.0,20,1.107142857142859
10.5,20,1.1157142857142879
11.0,20,1.107142857142859
11.5,20,1.1200000000000023
12.0,20,1.1157142857142879
12.5,20,1.1114285714285734
13.0,20,1.1114285714285734
13.5,20,1.0900000000000012
14.0,20,1.1028571428571445
14.5,20,1.0942857142857156
15.0,20,1.0900000000000012
15.5,20,1.1157142857142879
16.0,20,1.107142857142859
16.5,20,1.0857142857142867
17.0,20,1.0942857142857156
17.5,20,1.107142857142859
18.0,20,1.1114285714285734
18.5,20,1.1028571428571445
19.0,20,1.1200000000000023
19.5,20,1.09857142857143
20.0,20,1.1028571428571445
20.5,20,1.107142857142859
21.0,20,1.0942857142857156
21.5,20,1.107142857142859
22.0,20,1.107142857142859
22.5,20,1.1157142857142879
23.0,20,1.1328571428571421
23.5,20,1.1028571428571445
24.0,20,1.1200000000000023
24.5,20,1.09857142857143
25.0,20,1.0942857142857156
25.5,20,1.0942857142857156
26.0,20,1.09857142857143
26.5,20,1.0900000000000012
27.0,20,1.107142857142859
27.5,20,1.0942857142857156
28.0,20,1.09857142857143
28.5,20,1.0900000000000012
29.0,20,1.107142857142859
29.5,20,1.1028571428571445
30.0,50,1.1157142857142879
30.5,50,1.0942857142857156
31.0,50,1.1114285714285734
31.5,50,1.1457142857142855
32.0,50,1.2057142857142877
32.5,50,1.2399999999999998
33.0,50,1.2528571428571431
33.5,50,1.300000000000002
34.0,50,1.3257142857142852
34.5,50,1.372857142857144
35.0,50,1.4285714285714284
35.5,50,1.4414285714285717
36.0,50,1.4585714285714295
36.5,50,1.5057142857142884
37.0,50,1.5185714285714282
37.5,50,1.5785714285714305
38.0,50,1.6128571428571425
38.5,50,1.625714285714286
39.0,50,1.7071428571428569
39.5,50,1.7200000000000002
40.0,50,1.7328571428571435
40.5,50,1.7542857142857158
41.0,50,1.7928571428571423
41.5,50,1.8228571428571434
42.0,50,1.8528571428571445
42.5,50,1.9128571428571433
43.0,50,1.9214285714285722
43.5,50,1.9471428571428588
44.0,50,1.9600000000000022
44.5,50,2.002857142857143
45.0,50,2.0371428571428587
45.5,50,2.0714285714285707
46.0,50,2.1185714285714297
46.5,50,2.1271428571428586
47.0,50,2.1528571428571452
47.5,50,2.234285714285716
48.0,50,2.234285714285716
48.5,50,2.3071428571428583
49.0,50,2.2685714285714282
49.5,50,2.315714285714287
50.0,50,2.332857142857145
50.5,50,2.3628571428571425
51.0,50,2.3714285714285714
51.5,50,2.4185714285714304
52.0,50,2.4657142857142857
52.5,50,2.47
53.0,50,2.5085714285714302
53.5,50,2.5385714285714314
54.0,50,2.5642857142857145
54.5,50,2.5857142857142867
55.0,50,2.615714285714288
55.5,50,2.641428571428571
56.0,50,2.6757142857142866
56.5,50,2.697142857142859
57.0,50,2.710000000000002
57.5,50,2.744285714285714
58.0,50,2.7871428571428587
58.5,50,2.8042857142857165
59.0,50,2.825714285714285
59.5,50,2.8471428571428574
60.0,50,2.881428571428573
60.5,50,2.945714285714286
61.0,50,2.9585714285714295
61.5,50,2.9800000000000018
62.0,50,2.9971428571428596
62.5,50,3.035714285714286
63.0,50,3.0400000000000005
63.5,50,3.0700000000000016
64.0,50,3.1042857142857136
64.5,50,3.1428571428571437
65.0,50,3.1514285714285726
65.5,50,3.1771428571428593
66.0,50,3.2028571428571424
66.5,50,3.228571428571429
67.0,50,3.2500000000000013
67.5,50,3.2800000000000025
68.0,50,3.2971428571428567
68.5,50,3.3871428571428566
69.0,50,3.3742857142857168
69.5,50,3.3871428571428566
70.0,50,3.4042857142857144
70.5,50,3.430000000000001
71.0,50,3.4642857142857166
71.5,50,3.460000000000002
72.0,50,3.4899999999999998
72.5,50,3.550000000000002
73.0,50,3.52857142857143
73.5,50,3.5542857142857165
74.0,50,3.584285714285714
74.5,50,3.6057142857142863
75.0,50,3.6442857142857163
75.5,50,3.6442857142857163
76.0,50,3.682857142857143
76.5,50,3.7085714285714295
77.0,50,3.734285714285716
77.5,50,3.7557142857142884
78.0,50,3.7985714285714294
78.5,50,3.7900000000000005
79.0,50,3.815714285714287
79.5,50,3.841428571428574
80.0,50,3.9014285714285726
80.5,50,3.897142857142858
81.0,50,3.9314285714285737
81.5,50,3.9528571428571424
82.0,50,3.9657142857142857
82.5,50,3.978571428571429
83.0,50,4.0257142857142885
83.5,50,4.012857142857145
84.0,50,4.051428571428572
84.5,50,4.090000000000002
85.0,50,4.090000000000002
85.5,50,4.120000000000003
86.0,50,4.1414285714285715
86.5,50,4.158571428571429
87.0,50,4.167142857142858
87.5,50,4.1800000000000015
88.0,50,4.22714285714286
88.5,50,4.265714285714287
89.0,50,4.291428571428574
89.5,50,4.282857142857145
90.0,50,4.31714285714286
90.5,50,4.338571428571429
91.0,50,4.342857142857143
91.5,50,4.364285714285716
92.0,50,4.398571428571431
92.5,50,4.40714285714286
93.0,50,4.415714285714289
93.5,50,4.467142857142859
94.0,50,4.475714285714288
94.5,50,4.4928571428571455
95.0,50,4.488571428571431
95.5,50,4.531428571428572
96.0,50,4.561428571428573
96.5,50,4.570000000000002
97.0,50,4.591428571428574
97.5,50,4.625714285714286
98.0,50,4.630000000000001
98.5,50,4.63857142857143
99.0,50,4.664285714285716
99.5,50,4.690000000000003
100.0,50,4.711428571428572
100.5,50,4.7285714285714295
101.0,50,4.737142857142858
101.5,50,4.762857142857145
102.0,50,4.758571428571431
102.5,50,4.771428571428574
103.0,50,4.792857142857143
103.5,50,4.827142857142858
104.0,50,4.852857142857145
104.5,50,4.865714285714288
105.0,50,4.865714285714288
105.5,50,4.887142857142857
106.0,50,4.904285714285715
106.5,50,4.917142857142858
107.0,50,4.921428571428573
107.5,50,4.97714285714286
108.0,50,4.97714285714286
108.5,50,4.998571428571429
109.0,50,5.002857142857144
109.5,50,5.015714285714287
110.0,50,5.020000000000001
110.5,50,5.045714285714288
111.0,50,5.08
111.5,50,5.08
112.0,50,5.11857142857143
112.5,50,5.135714285714288
113.0,50,5.1228571428571446
113.5,50,5.135714285714288
114.0,50,5.165714285714289
114.5,50,5.187142857142858
115.0,50,5.187142857142858
115.5,50,5.217142857142859
116.0,50,5.230000000000002
116.5,50,5.238571428571431
117.0,50,5.251428571428574
117.5,50,5.268571428571429
118.0,50,5.29857142857143
118.5,50,5.307142857142859
119.0,50,5.315714285714288
119.5,50,5.3242857142857165
120.0,50,5.350000000000003
120.5,50,5.371428571428572
121.0,50,5.3585714285714285
121.5,50,5.397142857142859
122.0,50,5.392857142857144
122.5,50,5.42714285714286
123.0,50,5.422857142857145
123.5,50,5.452857142857143
124.0,50,5.474285714285715
124.5,50,5.487142857142858
125.0,50,5.482857142857144
125.5,50,5.487142857142858
126.0,50,5.512857142857145
126.5,50,5.534285714285717
127.0,50,5.538571428571432
127.5,50,5.5600000000000005
128.0,50,5.568571428571429
128.5,50,5.568571428571429
129.0,50,5.5985714285714305
129.5,50,5.602857142857145
130.0,50,5.615714285714288
130.5,50,5.637142857142857
131.0,50,5.658571428571429
131.5,50,5.671428571428573
132.0,50,5.6800000000000015
132.5,50,5.684285714285716
133.0,50,5.692857142857145
133.5,50,5.705714285714288
134.0,50,5.701428571428574
134.5,50,5.731428571428571
135.0,50,5.757142857142858
135.5,50,5.748571428571429
136.0,50,5.752857142857144
136.5,50,5.77857142857143
137.0,50,5.795714285714288
137.5,50,5.8000000000000025
138.0,50,5.81714285714286
138.5,50,5.842857142857143
139.0,50,5.825714285714286
139.5,50,5.851428571428572
140.0,50,5.864285714285716
140.5,50,5.864285714285716
141.0,50,5.885714285714288
141.5,50,5.877142857142859
142.0,50,5.890000000000002
142.5,50,5.924285714285714
143.0,50,5.915714285714289
143.5,50,5.928571428571429
144.0,50,5.941428571428572
144.5,50,5.941428571428572
145.0,50,5.941428571428572
145.5,50,5.9542857142857155
146.0,50,5.967142857142859
146.5,50,5.9928571428571455
147.0,50,6.005714285714289
147.5,50,6.027142857142858
148.0,50,5.99714285714286
148.5,50,6.022857142857143
149.0,50,6.031428571428572
149.5,50,6.031428571428572
