Tiempo,Entrada,Salida
0.0,35,38.89175769612711
0.5,35,38.8480635551142
1.0,35,38.93545183714002
1.5,35,39.03475670307845
2.0,35,38.80834160873883
2.5,35,38.852035749751735
3.0,35,38.82025819265144
3.5,35,38.693147964250244
4.0,35,38.732869910625624
4.5,35,38.63753723932473
5.0,35,38.60575968222443
5.5,35,38.63753723932473
6.0,35,38.57000993048659
6.5,35,38.60178748758689
7.0,35,38.57000993048659
7.5,35,38.4746772591857
8.0,35,38.47864945382324
8.5,35,38.38331678252234
9.0,35,38.36742800397219
9.5,35,38.36742800397219
10.0,35,38.32770605759682
10.5,35,38.355511420059585
11.0,35,38.371400198609734
11.5,35,38.28401191658391
12.0,35,38.299900695134056
12.5,35,38.26812313803376
13.0,35,38.06554121151936
13.5,35,38.14101290963257
14.0,35,38.1012909632572
14.5,35,38.10526315789474
15.0,35,38.109235352532274
15.5,35,38.02979145978153
16.0,35,37.99801390268123
16.5,35,38.01390268123138
17.0,35,37.970208540218465
17.5,35,38.03376365441906
18.0,35,37.986097318768614
18.5,35,37.855014895729894
19.0,35,37.95829195630586
19.5,35,37.76762661370407
20.0,35,37.80734856007945
20.5,35,37.819265143992055
21.0,35,37.74379344587885
21.5,35,37.75571002979146
22.0,35,37.73584905660377
22.5,35,37.54121151936445
23.0,35,37.715988083416086
23.5,35,37.644488579940415
24.0,35,37.6961271102284
24.5,35,37.715988083416086
25.0,35,37.51737835153922
25.5,35,37.55312810327706
26.0,35,37.545183714001986
26.5,35,37.44985104270109
27.0,35,37.42999006951341
27.5,35,37.561072492552135
28.0,35,37.52135054617676
28.5,35,37.53723932472691
29.0,35,37.23932472691162
29.5,35,37.49751737835154
30.0,55,37.48560079443892
30.5,55,37.3545183714002
31.0,55,37.402184707050644
31.5,55,37.731876861966235
32.0,55,37.72393247269116
32.5,55,37.84309831181728
33.0,55,37.80734856007945
33.5,55,38.01787487586891
34.0,55,38.15292949354519
34.5,55,38.2085402184707
35.0,55,38.56603773584906
35.5,55,38.49453823237339
36.0,55,38.47070506454816
36.5,55,38.685203574975176
37.0,55,38.74478649453823
37.5,55,38.72889771598808
38.0,55,38.871896722939425
38.5,55,38.93147964250248
39.0,55,39.130089374379345
39.5,55,39.2214498510427
40.0,55,39.404170804369414
40.5,55,39.34458788480636
41.0,55,39.44389275074479
41.5,55,39.45183714001986
42.0,55,39.63853028798411
42.5,55,39.491559086395235
43.0,55,39.84508440913605
43.5,55,39.85302879841112
44.0,55,39.801390268123136
44.5,55,40.0317775571003
45.0,55,39.992055610724925
45.5,55,40.19463753723932
46.0,55,40.16683217477656
46.5,55,40.23833167825224
47.0,55,40.45283018867924
47.5,55,40.480635551142
48.0,55,40.59980139026813
48.5,55,40.65143992055611
49.0,55,40.79443892750744
49.5,55,40.82621648460774
50.0,55,40.85004965243297
50.5,55,40.802383316782525
51.0,55,40.802383316782525
51.5,55,41.01688182720953
52.0,55,41.08440913604767
52.5,55,41.13604766633565
53.0,55,41.18768619662363
53.5,55,41.24329692154916
54.0,55,41.42601787487587
54.5,55,41.41410129096326
55.0,55,41.56504468718967
55.5,55,41.469712015888774
56.0,55,41.86295928500496
56.5,55,41.660377358490564
57.0,55,41.815292949354514
57.5,55,41.91062562065541
58.0,55,41.9622641509434
58.5,55,41.77159880834161
59.0,55,41.96623634558093
59.5,55,42.025819265143994
60.0,55,42.04170804369414
60.5,55,42.03376365441906
61.0,55,42.19265143992055
61.5,55,42.315789473684205
62.0,55,42.407149950347566
62.5,55,42.38728897715988
63.0,55,42.407149950347566
