Tiempo,Entrada,Salida
0.0,50,8.750744786494538
0.5,50,8.941410129096326
1.0,50,8.798411122144985
1.5,50,8.758689175769613
2.0,50,8.79046673286991
2.5,50,8.794438927507448
3.0,50,8.913604766633565
3.5,50,8.973187686196624
4.0,50,8.607745779543198
4.5,50,8.774577954319762
5.0,50,9.056603773584905
5.5,50,8.774577954319762
6.0,50,8.92154915590864
6.5,50,8.881827209533267
7.0,50,8.679245283018869
7.5,50,8.675273088381331
8.0,50,8.699106256206555
8.5,50,8.69116186693148
9.0,50,8.810327706057597
9.5,50,8.631578947368421
10.0,50,8.909632571996028
10.5,50,8.838133068520358
11.0,50,8.770605759682224
11.5,50,8.774577954319762
12.0,50,8.71896722939424
12.5,50,8.929493545183714
13.0,50,8.933465739821251
13.5,50,8.695134061569018
14.0,50,8.722939424031777
14.5,50,8.623634558093347
15.0,50,8.909632571996028
15.5,50,8.750744786494538
16.0,50,8.714995034756704
16.5,50,8.770605759682224
17.0,50,8.814299900695135
17.5,50,8.82224428997021
18.0,50,9.000993048659385
18.5,50,8.842105263157896
19.0,50,8.758689175769613
19.5,50,8.933465739821251
20.0,50,9.020854021847072
20.5,50,8.981132075471699
21.0,50,9.012909632571997
21.5,50,8.703078450844092
22.0,50,8.846077457795433
22.5,50,8.90566037735849
23.0,50,8.671300893743794
23.5,50,8.746772591857
24.0,50,8.842105263157896
24.5,50,8.87785501489573
25.0,50,8.591857000993048
25.5,50,8.96524329692155
26.0,50,8.953326713008938
26.5,50,8.846077457795433
27.0,50,8.786494538232374
27.5,50,8.80635551142006
28.0,50,8.778550148957299
28.5,50,8.782522343594836
29.0,50,8.885799404170804
29.5,50,8.730883813306852
30.0,80,8.881827209533267
30.5,80,8.798411122144985
31.0,80,8.818272095332672
31.5,80,8.80635551142006
32.0,80,8.997020854021848
32.5,80,9.08043694141013
33.0,80,9.259185700099305
33.5,80,9.195630585898709
34.0,80,9.414101290963258
34.5,80,9.29493545183714
35.0,80,9.334657398212512
35.5,80,9.513406156901688
36.0,80,9.576961271102284
36.5,80,9.803376365441906
37.0,80,9.342601787487586
37.5,80,9.445878848063556
38.0,80,9.541211519364449
38.5,80,10.141012909632572
39.0,80,9.64051638530288
39.5,80,10.01390268123138
40.0,80,9.962264150943396
40.5,80,10.307845084409136
41.0,80,10.11320754716981
41.5,80,10.085402184707052
42.0,80,10.101290963257199
42.5,80,10.085402184707052
43.0,80,10.224428997020855
43.5,80,10.323733862959285
44.0,80,10.53426017874876
44.5,80,10.379344587884807
45.0,80,10.53426017874876
45.5,80,10.558093346573983
46.0,80,10.510427010923536
46.5,80,10.784508440913605
47.0,80,10.856007944389276
47.5,80,10.728897715988083
48.0,80,10.907646474677259
48.5,80,10.87586891757696
49.0,80,10.955312810327706
49.5,80,10.991062562065542
50.0,80,10.856007944389276
50.5,80,11.277060575968223
51.0,80,11.197616683217477
51.5,80,11.590863952333665
52.0,80,10.99503475670308
52.5,80,11.28103277060576
53.0,80,11.523336643495531
53.5,80,11.308838133068521
54.0,80,11.356504468718967
54.5,80,11.43992055610725
55.0,80,11.372393247269116
55.5,80,11.753723932472692
56.0,80,11.563058589870904
56.5,80,11.475670307845085
57.0,80,11.690168818272095
57.5,80,11.666335650446872
58.0,80,11.773584905660378
58.5,80,11.85700099304866
59.0,80,11.789473684210526
59.5,80,11.749751737835155
60.0,80,11.95630585898709
60.5,80,12.003972194637537
61.0,80,11.948361469712015
61.5,80,11.948361469712015
62.0,80,12.023833167825224
62.5,80,12.047666335650447
63.0,80,12.095332671300895
63.5,80,12.393247269116188
64.0,80,12.397219463753725
64.5,80,12.30188679245283
65.0,80,12.38927507447865
65.5,80,12.238331678252234
66.0,80,12.476663356504469
66.5,80,12.397219463753725
67.0,80,12.516385302879842
67.5,80,12.718967229394242
68.0,80,12.973187686196624
68.5,80,12.73485600794439
69.0,80,12.679245283018869
69.5,80,12.623634558093347
70.0,80,12.476663356504469
70.5,80,12.714995034756704
71.0,80,12.818272095332672
71.5,80,12.83416087388282
72.0,80,12.758689175769613
72.5,80,12.838133068520357
73.0,80,13.032770605759683
73.5,80,13.155908639523336
74.0,80,13.020854021847072
74.5,80,12.846077457795431
75.0,80,13.068520357497517
75.5,80,12.885799404170804
76.0,80,13.140019860973187
76.5,80,13.259185700099305
77.0,80,13.227408142999007
77.5,80,13.22343594836147
78.0,80,13.275074478649454
78.5,80,13.255213505461768
79.0,80,13.235352532274081
79.5,80,13.374379344587885
80.0,80,13.445878848063554
80.5,80,13.537239324726912
81.0,80,13.561072492552135
81.5,80,13.604766633565045
82.0,80,13.433962264150944
82.5,80,13.715988083416088
83.0,80,13.36643495531281
83.5,80,13.497517378351539
84.0,80,13.55312810327706
84.5,80,13.676266137040715
85.0,80,13.505461767626613
85.5,80,13.787487586891757
86.0,80,13.719960278053625
86.5,80,13.688182720953327
87.0,80,13.61271102284012
87.5,80,13.692154915590864
88.0,80,13.775571002979145
88.5,80,13.735849056603774
89.0,80,13.890764647467726
89.5,80,14.097318768619662
90.0,80,13.934458788480637
90.5,80,14.001986097318769
91.0,80,14.160873882820258
91.5,80,13.843098311817279
92.0,80,14.291956305858987
92.5,80,13.731876861966237
93.0,80,14.081429990069513
93.5,80,14.005958291956306
94.0,80,14.291956305858987
94.5,80,14.0695134061569
95.0,80,14.0695134061569
95.5,80,14.0695134061569
96.0,80,14.12909632571996
96.5,80,14.057596822244289
97.0,80,14.176762661370407
97.5,80,14.220456802383318
98.0,80,14.450844091360477
98.5,80,14.423038728897716
99.0,80,14.40317775571003
99.5,80,14.073485600794438
100.0,80,14.204568023833168
100.5,80,14.427010923535253
101.0,80,13.946375372393248
101.5,80,14.415094339622641
102.0,80,14.53426017874876
102.5,80,14.335650446871897
103.0,80,14.510427010923536
103.5,80,14.466732869910626
104.0,80,14.693147964250247
104.5,80,14.335650446871897
105.0,80,14.716981132075471
105.5,80,14.653426017874876
106.0,80,14.442899702085402
106.5,80,14.685203574975173
107.0,80,14.61767626613704
107.5,80,14.701092353525322
108.0,80,14.70506454816286
108.5,80,14.709036742800397
109.0,80,14.979145978152928
109.5,80,14.808341608738829
110.0,80,14.585898709036744
110.5,80,14.613704071499503
111.0,80,14.808341608738829
111.5,80,14.697120158887785
112.0,80,14.752730883813307
112.5,80,14.848063555114202
113.0,80,14.86395233366435
113.5,80,14.939424031777557
114.0,80,15.046673286991062
