"time","ramp.y","ramp.duration"
0,0,2
0.002,0.001,2
0.004,0.002,2
0.006,0.003,2
0.008,0.004,2
0.01,0.005,2
0.012,0.006,2
0.014,0.007,2
0.016,0.008,2
0.018,0.008999999999999999,2
0.02,0.01,2
0.022,0.011,2
0.024,0.012,2
0.026,0.013,2
0.028,0.014,2
0.03,0.015,2
0.032,0.016,2
0.034,0.017,2
0.036,0.018,2
0.038,0.019,2
0.04,0.02,2
0.042,0.021,2
0.044,0.022,2
0.046,0.023,2
0.048,0.024,2
0.05,0.025,2
0.052,0.026,2
0.054,0.027,2
0.056,0.028,2
0.058,0.029,2
0.06,0.03,2
0.062,0.031,2
0.064,0.032,2
0.066,0.033,2
0.068,0.034,2
0.07,0.035,2
0.072,0.036,2
0.074,0.037,2
0.076,0.038,2
0.078,0.039,2
0.08,0.04,2
0.082,0.041,2
0.084,0.042,2
0.086,0.043,2
0.088,0.044,2
0.09,0.045,2
0.092,0.046,2
0.094,0.047,2
0.096,0.048,2
0.098,0.049,2
0.1,0.05,2
0.102,0.051,2
0.104,0.052,2
0.106,0.053,2
0.108,0.054,2
0.11,0.055,2
0.112,0.056,2
0.114,0.057,2
0.116,0.058,2
0.118,0.059,2
0.12,0.06,2
0.122,0.061,2
0.124,0.062,2
0.126,0.063,2
0.128,0.064,2
0.13,0.065,2
0.132,0.066,2
0.134,0.067,2
0.136,0.068,2
0.138,0.06900000000000001,2
0.14,0.07000000000000001,2
0.142,0.07099999999999999,2
0.144,0.07199999999999999,2
0.146,0.073,2
0.148,0.074,2
0.15,0.075,2
0.152,0.076,2
0.154,0.077,2
0.156,0.078,2
0.158,0.079,2
0.16,0.08,2
0.162,0.081,2
0.164,0.082,2
0.166,0.083,2
0.168,0.08400000000000001,2
0.17,0.08500000000000001,2
0.172,0.08599999999999999,2
0.174,0.08699999999999999,2
0.176,0.08799999999999999,2
0.178,0.089,2
0.18,0.09,2
0.182,0.091,2
0.184,0.092,2
0.186,0.093,2
0.188,0.094,2
0.19,0.095,2
0.192,0.096,2
0.194,0.097,2
0.196,0.098,2
0.198,0.099,2
0.2,0.1,2
0.202,0.101,2
0.204,0.102,2
0.206,0.103,2
0.208,0.104,2
0.21,0.105,2
0.212,0.106,2
0.214,0.107,2
0.216,0.108,2
0.218,0.109,2
0.22,0.11,2
0.222,0.111,2
0.224,0.112,2
0.226,0.113,2
0.228,0.114,2
0.23,0.115,2
0.232,0.116,2
0.234,0.117,2
0.236,0.118,2
0.238,0.119,2
0.24,0.12,2
0.242,0.121,2
0.244,0.122,2
0.246,0.123,2
0.248,0.124,2
0.25,0.125,2
0.252,0.126,2
0.254,0.127,2
0.256,0.128,2
0.258,0.129,2
0.26,0.13,2
0.262,0.131,2
0.264,0.132,2
0.266,0.133,2
0.268,0.134,2
0.27,0.135,2
0.272,0.136,2
0.274,0.137,2
0.276,0.138,2
0.278,0.139,2
0.28,0.14,2
0.282,0.141,2
0.284,0.142,2
0.286,0.143,2
0.288,0.144,2
0.29,0.145,2
0.292,0.146,2
0.294,0.147,2
0.296,0.148,2
0.298,0.149,2
0.3,0.15,2
0.302,0.151,2
0.304,0.152,2
0.306,0.153,2
0.308,0.154,2
0.31,0.155,2
0.312,0.156,2
0.314,0.157,2
0.316,0.158,2
0.318,0.159,2
0.32,0.16,2
0.322,0.161,2
0.324,0.162,2
0.326,0.163,2
0.328,0.164,2
0.33,0.165,2
0.332,0.166,2
0.334,0.167,2
0.336,0.168,2
0.338,0.169,2
0.34,0.17,2
0.342,0.171,2
0.344,0.172,2
0.346,0.173,2
0.348,0.174,2
0.35,0.175,2
0.352,0.176,2
0.354,0.177,2
0.356,0.178,2
0.358,0.179,2
0.36,0.18,2
0.362,0.181,2
0.364,0.182,2
0.366,0.183,2
0.368,0.184,2
0.37,0.185,2
0.372,0.186,2
0.374,0.187,2
0.376,0.188,2
0.378,0.189,2
0.38,0.19,2
0.382,0.191,2
0.384,0.192,2
0.386,0.193,2
0.388,0.194,2
0.39,0.195,2
0.392,0.196,2
0.394,0.197,2
0.396,0.198,2
0.398,0.199,2
0.4,0.2,2
0.402,0.201,2
0.404,0.202,2
0.406,0.203,2
0.408,0.204,2
0.41,0.205,2
0.412,0.206,2
0.414,0.207,2
0.416,0.208,2
0.418,0.209,2
0.42,0.21,2
0.422,0.211,2
0.424,0.212,2
0.426,0.213,2
0.428,0.214,2
0.43,0.215,2
0.432,0.216,2
0.434,0.217,2
0.436,0.218,2
0.438,0.219,2
0.44,0.22,2
0.442,0.221,2
0.444,0.222,2
0.446,0.223,2
0.448,0.224,2
0.45,0.225,2
0.452,0.226,2
0.454,0.227,2
0.456,0.228,2
0.458,0.229,2
0.46,0.23,2
0.462,0.231,2
0.464,0.232,2
0.466,0.233,2
0.468,0.234,2
0.47,0.235,2
0.472,0.236,2
0.474,0.237,2
0.476,0.238,2
0.478,0.239,2
0.48,0.24,2
0.482,0.241,2
0.484,0.242,2
0.486,0.243,2
0.488,0.244,2
0.49,0.245,2
0.492,0.246,2
0.494,0.247,2
0.496,0.248,2
0.498,0.249,2
0.5,0.25,2
0.502,0.251,2
0.504,0.252,2
0.506,0.253,2
0.508,0.254,2
0.51,0.255,2
0.512,0.256,2
0.514,0.257,2
0.516,0.258,2
0.518,0.259,2
0.52,0.26,2
0.522,0.261,2
0.524,0.262,2
0.526,0.263,2
0.528,0.264,2
0.53,0.265,2
0.532,0.266,2
0.534,0.267,2
0.536,0.268,2
0.538,0.269,2
0.54,0.27,2
0.542,0.271,2
0.544,0.272,2
0.546,0.273,2
0.548,0.274,2
0.55,0.275,2
0.552,0.276,2
0.554,0.277,2
0.556,0.278,2
0.558,0.279,2
0.56,0.28,2
0.562,0.281,2
0.564,0.282,2
0.566,0.283,2
0.568,0.284,2
0.57,0.285,2
0.572,0.286,2
0.574,0.287,2
0.576,0.288,2
0.578,0.289,2
0.58,0.29,2
0.582,0.291,2
0.584,0.292,2
0.586,0.293,2
0.588,0.294,2
0.59,0.295,2
0.592,0.296,2
0.594,0.297,2
0.596,0.298,2
0.598,0.299,2
0.6,0.3,2
0.602,0.301,2
0.604,0.302,2
0.606,0.303,2
0.608,0.304,2
0.61,0.305,2
0.612,0.306,2
0.614,0.307,2
0.616,0.308,2
0.618,0.309,2
0.62,0.31,2
0.622,0.311,2
0.624,0.312,2
0.626,0.313,2
0.628,0.314,2
0.63,0.315,2
0.632,0.316,2
0.634,0.317,2
0.636,0.318,2
0.638,0.319,2
0.64,0.32,2
0.642,0.321,2
0.644,0.322,2
0.646,0.323,2
0.648,0.324,2
0.65,0.325,2
0.652,0.326,2
0.654,0.327,2
0.656,0.328,2
0.658,0.329,2
0.66,0.33,2
0.662,0.331,2
0.664,0.332,2
0.666,0.333,2
0.668,0.334,2
0.67,0.335,2
0.672,0.336,2
0.674,0.337,2
0.676,0.338,2
0.678,0.339,2
0.68,0.34,2
